feature,tipo,condicao,n,wr_1h,wr_4h,edge_1h,edge_4h
r_es_1h,continua,Q1[-4.367--0.068],2960,0.2408783783783784,0.6628378378378378,-0.0052780669671191605,-0.01058672712245956
open_w_dist_btc,continua,Q4[2.335-29.930],2960,0.2408783783783784,0.6773648648648649,-0.0052780669671191605,0.003940299904567568
dist_sma50_es,continua,Q2[-0.310-0.151],2959,0.24062183169989862,0.668131125380196,-0.005534613645598929,-0.005293439580101311
r_mnq_4h,continua,Q1[-11.132--0.203],2960,0.2402027027027027,0.6462837837837838,-0.005953742642794857,-0.02714078117651353
open_w_dist_es,continua,Q1[-13.708--0.442],2960,0.2402027027027027,0.6503378378378378,-0.005953742642794857,-0.023086727122459516
r_es_4h,continua,Q4[0.189-9.607],2960,0.2402027027027027,0.6787162162162163,-0.005953742642794857,0.0052916512559189055
r_es_4h,continua,Q1[-9.817--0.147],2960,0.23986486486486486,0.6527027027027027,-0.006291580480632691,-0.020721862257594648
open_4h_dist_cl,continua,Q1[-11.975--0.105],2960,0.23986486486486486,0.6766891891891892,-0.006291580480632691,0.0032646242288918437
r_btc_1h,continua,Q3[0.004-0.278],2959,0.23960797566745523,0.6728624535315985,-0.006548469678042318,-0.000562111428698886
di_spread_mnq,continua,Q1[-55.004--9.715],2960,0.2391891891891892,0.65,-0.00696725615630836,-0.023424564960297323
r_btc_1h,continua,Q4[0.278-14.541],2960,0.2391891891891892,0.6614864864864864,-0.00696725615630836,-0.011938078473810898
dist_open_d_btc,continua,Q3[0.000-0.759],3741,0.23897353648757017,0.6554397219994654,-0.007182908857927384,-0.017984842960831915
open_d_dist_btc,continua,Q3[0.000-0.759],3741,0.23897353648757017,0.6554397219994654,-0.007182908857927384,-0.017984842960831915
r_es_1h,continua,Q4[0.080-6.731],2960,0.23885135135135135,0.660472972972973,-0.0073050939941461945,-0.012951591987324318
vol_cl,continua,Q1[0.106-0.290],2960,0.23885135135135135,0.6631756756756757,-0.0073050939941461945,-0.010248889284621643
dist_open_d_cl,continua,Q2[-0.465-0.000],2157,0.23875753361149746,0.6717663421418637,-0.007398911734000091,-0.0016582228184336412
open_d_dist_cl,continua,Q2[-0.465-0.000],2157,0.23875753361149746,0.6717663421418637,-0.007398911734000091,-0.0016582228184336412
di_spread_mnq,continua,Q2[-9.715--0.274],2959,0.23859411963501184,0.6576546130449477,-0.007562325710485707,-0.01576995191534969
